fsu:356297,May05-1789
fsu:356300,May06-1789
fsu:356313,May14-1789
fsu:356299,May23-1789
fsu:356362,May30-1789
fsu:356349,June06-1789
fsu:356332,June10-1789
fsu:356348,June15-1789
fsu:356333,June16-1789
fsu:356487,June20-1789
fsu:356428,June24-1789
fsu:356535,June27-1789
fsu:356411,July01-1789
fsu:356533,July04-1789
fsu:356502,July06-1789
fsu:356517,July08-1789
fsu:356426,July10-1789
fsu:356441,July13-1789
fsu:356473,July15-1789
fsu:356456,July16-1789
fsu:356442,July20-1789
fsu:356519,July23-1789
fsu:363557,July23-1789
fsu:356412,July24-1789
fsu:356488,July25-1789
fsu:356505,July27-1789
fsu:356455,July28-1789
fsu:363543,July29-1789
fsu:356471,July29-1789
fsu:363527,July31-1789
fsu:356644,July31-1789
fsu:356672,August01-1789
fsu:356642,August03-1789
fsu:356659,August04-1789
fsu:356629,August05-1789
fsu:356598,August06-1789
fsu:356612,August07-1789
fsu:356628,August08-1789
fsu:356657,August09-1789
fsu:356614,August10-1789
fsu:356597,August14-1789
fsu:356673,August17-1789
fsu:363542,August19-1789
fsu:356717,August19-1789
fsu:356732,August21-1789
fsu:356702,August23-1789
fsu:356689,August26-1789
fsu:356720,August28-1789
fsu:356687,August31-1789
fsu:356735,September02-1789
fsu:356703,September03-1789
fsu:363572,September04-1789
fsu:356780,September04-1789
fsu:356813,September07-1789
fsu:356810,September08-1789
fsu:356782,September12-1789
fsu:356765,September14-1789
fsu:356766,September15-1789
fsu:356798,September16-1789
fsu:356749,September18-1789
fsu:356824,September21-1789
fsu:356751,September23-1789
fsu:356828,September25-1789
fsu:356795,September28-1789
fsu:363528,September29-1789
fsu:356859,September29-1789
fsu:356854,October01-1789
fsu:356845,October05-1789
fsu:356839,October08-1789
fsu:356870,October09-1789
fsu:356874,October10-1789
fsu:363559,October12-1789
fsu:357041,October12-1789
fsu:356949,October13-1789
fsu:356935,October15-1789
fsu:356933,October20-1789
fsu:356950,October22-1789
fsu:356948,October26-1789
fsu:363558,October29-1789
fsu:356932,October29-1789
fsu:356964,October30-1789
fsu:356963,November02-1789
fsu:356965,November03-1789
fsu:363544,November05-1789
fsu:356979,November05-1789
fsu:356978,November07-1789
fsu:356980,November09-1789
fsu:363529,November10-1789
fsu:357009,November10-1789
fsu:357023,November13-1789
fsu:357039,November17-1789
fsu:357024,November18-1789
fsu:356993,November20-1789
fsu:356996,November24-1789
fsu:357010,November25-1789
fsu:357027,November26-1789
fsu:357038,November27-1789
fsu:356994,November28-1789
fsu:357008,November29-1789
fsu:357073,November30-1789
fsu:357133,December01-1789
fsu:357082,December02-1789
fsu:357119,December03-1789
fsu:357068,December04-1789
fsu:357088,December05-1789
fsu:357139,December06-1789
fsu:357131,December07-1789
fsu:357105,December08-1789
fsu:357099,December09-1789
fsu:357054,December10-1789
fsu:357067,December11-1789
fsu:357095,December12-1789
fsu:357110,December13-1789
fsu:357114,December14-1789
fsu:357052,December15-1789
fsu:357125,December16-1789
fsu:357146,December17-1789
fsu:357084,December18-1789
fsu:357057,December19-1789
fsu:357148,December20-1789
fsu:357198,December21-1789
fsu:357185,December22-1789
fsu:357176,December23-1789
fsu:357207,December24-1789
fsu:357161,December25-1789
fsu:357194,December26-1789
fsu:357169,December27-1789
fsu:357154,December28-1789
fsu:357179,December29-1789
fsu:357191,December30-1789
fsu:357164,December31-1789
fsu:359371,January01-1790
fsu:359384,January02-1790
fsu:359385,January03-1790
fsu:359370,January04-1790
fsu:359369,January05-1790
fsu:359491,January06-1790
fsu:359485,January07-1790
fsu:359502,January08-1790
fsu:359476,January09-1790
fsu:359397,January10-1790
fsu:359444,January11-1790
fsu:359396,January12-1790
